mode,participant,target,modality,classifier,feature_count_request,feature_count_resolved,fold,feature,selected,feature_score
individual,P19,valence,eeg,knn,all,all,1,eeg_sd__C3,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_sd__C4,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_sd__Cz,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_sd__Fz,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_sd__Oz,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_sd__PO7,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_sd__PO8,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_sd__Pz,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_se__C3,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_se__C4,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_se__Cz,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_se__Fz,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_se__Oz,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_se__PO7,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_se__PO8,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_se__Pz,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_hm__C3,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_hm__C4,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_hm__Cz,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_hm__Fz,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_hm__Oz,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_hm__PO7,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_hm__PO8,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_hm__Pz,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_hc__C3,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_hc__C4,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_hc__Cz,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_hc__Fz,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_hc__Oz,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_hc__PO7,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_hc__PO8,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_hc__Pz,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_mf_hz__C3,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_mf_hz__C4,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_mf_hz__Cz,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_mf_hz__Fz,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_mf_hz__Oz,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_mf_hz__PO7,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_mf_hz__PO8,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_mf_hz__Pz,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_bp_delta__C3,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_bp_delta__C4,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_bp_delta__Cz,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_bp_delta__Fz,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_bp_delta__Oz,True,
individual,P19,valence,eeg,knn,all,all,1,eeg_bp_delta__PO7,True,
