mode,participant,target,modality,classifier,feature_count_request,feature_count_resolved,folds,balanced_accuracy_mean,balanced_accuracy_sd,balanced_accuracy_median,balanced_accuracy_min,balanced_accuracy_max,accuracy_mean,precision_mean,recall_mean,f1_mean
individual,P10,arousal,eeg,gnb,10,10,5,0.4526806526806527,0.09372905010766874,0.458041958041958,0.33333333333333337,0.5804195804195804,0.45,0.4771945701357466,0.40384615384615385,0.406955710955711
individual,P10,arousal,eeg,gnb,20,20,5,0.4652680652680653,0.10476033818791312,0.48951048951048953,0.33333333333333337,0.6083916083916083,0.4666666666666667,0.5284766214177978,0.4653846153846154,0.47207903207903207
individual,P10,arousal,eeg,gnb,5,5,5,0.43024475524475525,0.08417155895831864,0.4125874125874126,0.37412587412587417,0.5769230769230769,0.425,0.5479487179487179,0.39230769230769236,0.40683760683760684
individual,P10,arousal,eeg,gnb,all,all,5,0.4951048951048951,0.09832575666222546,0.5,0.3531468531468532,0.6258741258741258,0.4916666666666666,0.5422222222222223,0.4205128205128205,0.4540829493087557
individual,P10,arousal,eeg,knn,10,10,5,0.49050116550116546,0.12271771203548518,0.534965034965035,0.29166666666666663,0.5944055944055944,0.4916666666666667,0.5291575091575091,0.5128205128205129,0.5161808561808562
individual,P10,arousal,eeg,knn,20,20,5,0.4325174825174825,0.11986430132064799,0.458041958041958,0.25,0.5734265734265734,0.4416666666666667,0.47000000000000003,0.5423076923076924,0.5012380952380953
individual,P10,arousal,eeg,knn,5,5,5,0.3996503496503497,0.12284874350446151,0.458041958041958,0.25,0.534965034965035,0.4,0.43809523809523815,0.4205128205128205,0.42701350179611053
individual,P10,arousal,eeg,knn,all,all,5,0.4456876456876457,0.07296074532401238,0.4755244755244755,0.33333333333333337,0.5034965034965035,0.45,0.48718123981281874,0.5141025641025642,0.49423076923076925
individual,P10,arousal,eeg,svm,10,10,5,0.41917249417249425,0.08678572822501311,0.4125874125874126,0.2916666666666667,0.5,0.4416666666666667,0.47037786774628876,0.714102564102564,0.5599628474628474
individual,P10,arousal,eeg,svm,20,20,5,0.4987179487179487,0.10415466457336393,0.458041958041958,0.39860139860139865,0.6188811188811189,0.5,0.5455462184873949,0.49743589743589745,0.5087272727272727
individual,P10,arousal,eeg,svm,5,5,5,0.45827505827505827,0.07144531651050615,0.48951048951048953,0.3333333333333333,0.5034965034965035,0.4666666666666666,0.49909090909090903,0.5923076923076923,0.527497062279671
individual,P10,arousal,eeg,svm,all,all,5,0.5007575757575757,0.06612858367158,0.48951048951048953,0.44405594405594406,0.6118881118881119,0.5166666666666666,0.5323076923076923,0.7,0.5991021168952203
individual,P10,arousal,face,gnb,10,10,5,0.5516317016317016,0.09739748130158057,0.5833333333333334,0.4300699300699301,0.6503496503496503,0.5666666666666667,0.5765979118920296,0.8153846153846154,0.6664670231729055
individual,P10,arousal,face,gnb,20,10,5,0.5516317016317016,0.09739748130158057,0.5833333333333334,0.4300699300699301,0.6503496503496503,0.5666666666666667,0.5765979118920296,0.8153846153846154,0.6664670231729055
individual,P10,arousal,face,gnb,5,5,5,0.4776223776223777,0.04426910359585006,0.5,0.4125874125874126,0.513986013986014,0.4833333333333333,0.5134188034188034,0.6461538461538462,0.5535871535871536
individual,P10,arousal,face,gnb,all,all,5,0.5516317016317016,0.09739748130158057,0.5833333333333334,0.4300699300699301,0.6503496503496503,0.5666666666666667,0.5765979118920296,0.8153846153846154,0.6664670231729055
individual,P10,arousal,face,knn,10,10,5,0.5697552447552447,0.10118814064082561,0.5734265734265734,0.44405594405594406,0.7027972027972028,0.575,0.5895951107715813,0.6743589743589744,0.6249954387885422
individual,P10,arousal,face,knn,20,10,5,0.5697552447552447,0.10118814064082561,0.5734265734265734,0.44405594405594406,0.7027972027972028,0.575,0.5895951107715813,0.6743589743589744,0.6249954387885422
individual,P10,arousal,face,knn,5,5,5,0.5391025641025642,0.1169980465913865,0.5416666666666667,0.37412587412587417,0.6958041958041958,0.5416666666666667,0.5582643233959024,0.6282051282051283,0.5838333190724737
individual,P10,arousal,face,knn,all,all,5,0.5697552447552447,0.10118814064082561,0.5734265734265734,0.44405594405594406,0.7027972027972028,0.575,0.5895951107715813,0.6743589743589744,0.6249954387885422
individual,P10,arousal,face,svm,10,10,5,0.5524475524475524,0.04464036830350947,0.548951048951049,0.5,0.6188811188811189,0.5583333333333333,0.578718487394958,0.7230769230769231,0.6284857571214393
individual,P10,arousal,face,svm,20,10,5,0.5524475524475524,0.04464036830350947,0.548951048951049,0.5,0.6188811188811189,0.5583333333333333,0.578718487394958,0.7230769230769231,0.6284857571214393
individual,P10,arousal,face,svm,5,5,5,0.5599650349650349,0.08937397396808024,0.548951048951049,0.42657342657342656,0.6573426573426573,0.5583333333333333,0.5731746031746032,0.6153846153846154,0.5773867871259176
individual,P10,arousal,face,svm,all,all,5,0.5524475524475524,0.04464036830350947,0.548951048951049,0.5,0.6188811188811189,0.5583333333333333,0.578718487394958,0.7230769230769231,0.6284857571214393
individual,P10,arousal,multimodal,gnb,10,10,5,0.4854895104895105,0.10769784178860331,0.458041958041958,0.375,0.6153846153846154,0.4833333333333333,0.5899218428630194,0.4512820512820513,0.4703088071348941
individual,P10,arousal,multimodal,gnb,20,20,5,0.4812937062937063,0.0909754666237533,0.44405594405594406,0.375,0.6083916083916083,0.4833333333333333,0.5470129870129871,0.49743589743589745,0.49766227997112555
individual,P10,arousal,multimodal,gnb,5,5,5,0.4461538461538462,0.06636912590498945,0.4125874125874126,0.37412587412587417,0.5314685314685315,0.4416666666666667,0.5012820512820513,0.39230769230769236,0.41461538461538466
individual,P10,arousal,multimodal,gnb,all,all,5,0.5041958041958041,0.09061949570651334,0.5244755244755245,0.3531468531468532,0.5874125874125874,0.5,0.5611616161616162,0.43717948717948724,0.47270632593213235
individual,P10,arousal,multimodal,knn,10,10,5,0.4903846153846154,0.07795419062802987,0.48951048951048953,0.375,0.5944055944055944,0.4916666666666667,0.5326806526806527,0.5141025641025642,0.5176623376623376
individual,P10,arousal,multimodal,knn,20,20,5,0.4518648018648019,0.08217568446006081,0.4370629370629371,0.36713286713286714,0.5874125874125874,0.45833333333333337,0.4987012987012987,0.5461538461538462,0.5176959838250161
individual,P10,arousal,multimodal,knn,5,5,5,0.47284382284382287,0.0820640287301805,0.465034965034965,0.37412587412587417,0.5734265734265734,0.475,0.5033333333333333,0.5153846153846154,0.5063541611367699
individual,P10,arousal,multimodal,knn,all,all,5,0.43152680652680653,0.04725043640508386,0.4370629370629371,0.36713286713286714,0.48951048951048953,0.4416666666666667,0.4766233766233766,0.5448717948717949,0.5062601571717982
individual,P10,arousal,multimodal,svm,10,10,5,0.44085081585081587,0.09188398656592675,0.48951048951048953,0.29166666666666663,0.5104895104895105,0.45,0.47995726495726493,0.558974358974359,0.5020430380430381
individual,P10,arousal,multimodal,svm,20,20,5,0.5111888111888112,0.09630947354801148,0.5,0.37412587412587417,0.6048951048951049,0.5166666666666667,0.5536758563074352,0.5602564102564103,0.5378445747800586
individual,P10,arousal,multimodal,svm,5,5,5,0.4798951048951049,0.0713096008374583,0.48951048951048953,0.375,0.5734265734265734,0.4833333333333333,0.5010256410256411,0.49615384615384617,0.4946488294314381
individual,P10,arousal,multimodal,svm,all,all,5,0.4784382284382285,0.06477712462279837,0.4825174825174825,0.4166666666666667,0.5734265734265734,0.4916666666666667,0.508458110516934,0.6371794871794872,0.5557786357786358
individual,P10,valence,eeg,gnb,10,10,5,0.4471428571428572,0.1497106051892198,0.3857142857142857,0.3142857142857143,0.6928571428571428,0.475,0.538974358974359,0.6142857142857142,0.5701368363437329
individual,P10,valence,eeg,gnb,20,20,5,0.43285714285714283,0.14442002235542983,0.42857142857142855,0.24285714285714285,0.6428571428571428,0.4583333333333333,0.5223484848484847,0.5857142857142856,0.5442051282051282
individual,P10,valence,eeg,gnb,5,5,5,0.49000000000000005,0.113793583263015,0.5142857142857143,0.34285714285714286,0.6428571428571428,0.525,0.5615641711229946,0.7,0.6150832806240776
individual,P10,valence,eeg,gnb,all,all,5,0.44571428571428573,0.08872682221060234,0.4285714285714286,0.3357142857142857,0.5428571428571428,0.4833333333333334,0.5411017740429506,0.6714285714285714,0.5909498960874673
individual,P10,valence,eeg,knn,10,10,5,0.5257142857142857,0.08415243700013225,0.5071428571428571,0.4357142857142857,0.65,0.5666666666666667,0.5939565826330532,0.7714285714285715,0.6679485142221516
